1,"113528842","89"
2,"113533854","100"
3,"113538837","86"
4,"113543833","84"
5,"113548834","85"
6,"113553845","91"
7,"113558839","89"
8,"113603835","86"
9,"113608844","96"
10,"113613835","87"
11,"113618867","111"
12,"113623842","93"
13,"113628840","91"
14,"113633837","86"
15,"113638844","93"
16,"113643840","86"
17,"113648835","86"
18,"113653837","88"
19,"113658835","86"
20,"113703838","87"
21,"113708842","92"
22,"113713842","94"
23,"113718840","91"
24,"113723840","90"
25,"113728838","88"
26,"113733837","88"
27,"113738837","86"
28,"113743857","108"
29,"113748836","87"
30,"113753847","88"
31,"113758842","87"
32,"113803840","92"
33,"113808842","90"
34,"113813837","89"
35,"113818866","116"
36,"113823843","93"
37,"113828840","88"
38,"113833836","86"
39,"113838838","84"
40,"113843837","87"
41,"113848835","86"
42,"113853837","88"
43,"113858838","87"
44,"113903847","100"
45,"113908837","87"
46,"113913850","88"
47,"113918845","89"
48,"113923864","115"
49,"113928841","88"
50,"113933840","88"
51,"113938837","87"
52,"113943835","86"
53,"113948835","86"
54,"113953839","88"
55,"113958848","99"
56,"114003837","87"
57,"114008843","94"
58,"114013837","90"
59,"114018840","90"
60,"114023841","93"
61,"114028839","89"
62,"114033840","90"
63,"114038836","86"
64,"114043839","88"
65,"114048843","95"
66,"114053843","94"
67,"114058850","96"
68,"114103844","93"
69,"114108837","87"
70,"114113838","86"
71,"114118841","90"
72,"114123851","102"
73,"114128830","79"
74,"114133833","79"
75,"114138829","80"
76,"114143834","82"
77,"114148843","95"
78,"114153833","83"
79,"114158828","80"
80,"114203835","80"
81,"114208834","82"
82,"114213828","78"
83,"114218831","80"
84,"114223838","89"
85,"114228850","98"
86,"114233831","82"
87,"114238833","78"
88,"114243843","95"
89,"114248831","79"
90,"114253839","91"
91,"114258831","81"
92,"114303829","80"
93,"114308827","78"
94,"114313832","85"
95,"114318830","80"
96,"114323833","80"
97,"114328829","80"
98,"114333846","81"
99,"114338843","84"
100,"114343825","78"
